post_id;text;date;likes;owner_id;is_video;by_tag
2B6H7WrCI4;"Заказ работ - @questkit 
Обучение - @leathercraft.pro
#школакожевника #обучение #работаскожей #тиснениепо коже #карвингпокоже #растишка #ручнаяработа #кожевенноеремесло #ремесло #мастеркласспокоже #questkit";1430248166;947;1929232823;False;мастеркласспокоже
2nX_YeQ2V7;Маааааленькое начало боооооольшой задумки))) #букетизкожи #цветыизкожи #ручнаяработа #ручноекрашение #розыиззамши #обучение #уроки #мастеркласспокоже #видеоурок;1431505339;37;1263969312;False;мастеркласспокоже
2nXrdbQ2Vi;Роза из замши #обучение #цветыизкожи #мк #видеоурок #мастеркласс #мастеркласспокоже;1431505176;32;1263969312;False;мастеркласспокоже
4PUbHSDynf;"Автоо  @inna_shkyropat

#leather #flowers #цветыручнойработы #Роза #обучение #цветыизкожи #мк #видеоурок #мастеркласс #мастеркласспокоже";1434993130;11;2070195969;False;мастеркласспокоже
BCC2uhWE5Oz;#библиотекаимгорького#мастеркласспокоже#своимируками;1456049743;7;2462176251;False;мастеркласспокоже
BH9TWaZh9IJ;#сабантуймосква #набережныечелны #мастеркласспокоже;1468748326;3;3135899251;False;мастеркласспокоже
BH9TlrRB3FC;#сабантуймосква #набережныечелны #мастеркласспокоже;1468748451;4;3135899251;False;мастеркласспокоже
BIFQ664gtZz;"Приглашаю  всех желающих ! На  #мастеркласспокоже  #устькаменогорск  #левобережныймузейныйкомплекс #этнодеревня  #городмастеров  #городмастеровмастерклассы  #алтайскийбазар  #фестивальремесел  #фестивальремесленников  #натальякузьмина  #изделияизкожиручнойработыкупить
#artpelle";1469015487;63;2010305307;False;мастеркласспокоже
BIVIbPEAGkp;"Фестиваль ремесленников ""Алтайский базар"" в Усть-Каменогорске....июль2016..... участие в  таком мероприятии огромная ответственность....благодарю организаторов фестиваля за приглашение.....#фестивальремесленников  #алтайскийбазар  #мастеркласс  #мастеркласспокоже  #2016♥  #натальякузьмина  #хэндмэйд";1469547904;44;2010305307;False;мастеркласспокоже
BMUKZFCDxCQ;"#сумкасвоимируками #сумкаизкожи готова.  Я сделала это! Спасибо @secondskinru за #мастеркласспокоже 
Кто хочет научиться работать с кожей,  идите к Саймону.  Москва.  Коломенская.";1478105315;63;1532343385;True;мастеркласспокоже
BQYWUWzFfus;#намастерклассили #чехолдлятелнфона воть #мастеркласспокоже #кожевеннаямастерская;1486835721;41;617410203;True;мастеркласспокоже
BTLdcByB4zM;"Вчера прошел тестовый МК по коже под руководством Варисова Салавата)😊 Было очень интересно и познавательно!!! А самое главное, все мы ушли с кошельками собственного изготовления)))😉👍👍👍 таааак приятно! Я свой подарила Максиму😊😙
У кого есть желание сшить такой же, записывайтесь в личке или по телефону 8(917)791-41-51
#наширукинедляскуки #творювытворяю #творчество #сделаноруками #ручнаяработа #хендмейд #ярмаркамастеров #уфамастер #мастерпокоже #мастеркласспокоже #кожаныйкошелек #изкожи #работа #какпровестивыходные #кудасходитьуфа #занятия #курсыуфа #творческаямастерская #уфакулибин #кулибин #кулибинуфа";1492845697;61;1551266482;False;мастеркласспокоже
BTLeHrnBKUO;"Вчера прошел тестовый МК по коже в @kulibinworkshop под руководством Варисова Салавата) https://vk.com/varisoff 😊 Было очень интересно и познавательно!!! А самое главное, все мы ушли с кошельками собственного изготовления)))😉👍👍👍 таааак приятно! Я свой подарила Максиму😊😙
У кого есть желание сшить такой же, записывайтесь в личке или по телефону 8(917)791-41-51
#наширукинедляскуки #творювытворяю #творчество #сделаноруками #ручнаяработа #хендмейд #ярмаркамастеров #уфамастер #мастерпокоже #мастеркласспокоже #кожаныйкошелек #изкожи #работа #какпровестивыходные #кудасходитьуфа #занятия #курсыуфа #творческаямастерская #уфакулибин #кулибин #кулибинуфа";1492846054;743;1551266482;False;мастеркласспокоже
BTzGFXIAjOa;"🍒Уважаемые Рукодельницы-профессионалы и любители!

Сейчас самое время подготовиться к зимнему сезону-если у вас есть желание постичь Секреты работы с кожей и мехом-приглашаю на свой двухмесячный ,качественный Мастер-класс:10% теории и 90% практики из моего 20 летнего профессионального опыта! 💃  И уже к осени вы сможете получать более дорогостоящие заказы или пошить для себя изделие из кожи и меха. 📌  Пишите в личку,занятия начинаются по мере формирования групп.
 #мастерклассы #мастеркласспокоже #мастеркласс #дизайнерпокоже #дизайнерскаяодежда #кожаныеизделия #кожаныеизделияназаказ #меховыеизделия #ательекожи #ательесевастополь #ательемосква";1494175630;91;4040802319;False;мастеркласспокоже
BUKHK2uAzwe;"4 шага к своему, женскому бизнесу🔻
👩‍💼
Стань Независимым Консультантом красоте!
🔻
1️⃣. Посети мастер-класс ""Уход за кожей"".
2️⃣. Узнай о возможностях бизнеса от меня, вашего Консультанта по красоте.
3️⃣. Приобрети #стартовыйнабор и оформи свой первый заказ🛍.
4️⃣. Начни свой бизнес с Мэри Кэй.💵
.
ЕСЛИ Я СМОГЛА👇
🔹построить карьеру с компаний, /тогда ей уже - 42 года в мире и 22 года в России/.
🔹стать успешным Лидером Бизнес-группы, совмещая с основным местом работы.
🔹выполнить автопрограмму 🚘.
🔹иметь возможность путешествовать несколько раз в год.
И ТЫ ТОЖЕ СМОЖЕШЬ! 🛍💵🚘💞💯Ведь у тебя буду я😊.
.
Запишитесь прямо сейчас на мой #мастеркласспокоже. Сайт в шапке профиля👆
.
Около 12 лет помогаю женщинам изменить свою жизнь к лучшему! Мне доверяют, как профессионалу😊. #стать_консультантом_мэрикэй #jannagolyachenko #работадлямамвдекрете #мэрикэйдлятебя #мэрикэйхабаровск #косметикаклассалюкс";1494947951;45;1257374218;False;мастеркласспокоже
BUMIMMdj33D;"4 шага к своему, женскому бизнесу🔻
👩‍💼
Стань Независимым Консультантом красоте!
🔻
1️⃣. Посети мастер-класс ""Уход за кожей"".
2️⃣. Узнай о возможностях бизнеса от Консультанта по красоте.
3️⃣. Приобрети #стартовыйнабор и оформи свой первый заказ🛍.
4️⃣. Начни свой бизнес с Мэри Кэй.💵
.
ЕСЛИ Я СМОГЛА👇
🔹построить карьеру с компаний, клторая уже 54 года в мире и 24 года в России/.
🔹получать дополнительный доход, совмещая с основным местом работы.
🔹иметь возможность путешествовать несколько раз в год.
И ТЫ ТОЖЕ СМОЖЕШЬ! 🛍💵🚘💞💯Ведь у тебя буду я😊.
.
Запишитесь прямо сейчас на мой #мастеркласспокоже. Сайт в шапке профиля👆
.
Около 7 лет помогаю женщинам изменить свою жизнь к лучшему! Мне доверяют, как профессионалу😊. #стать_консультантом_мэрикэй #женскийбизнес #работадлямамвдекрете #мэрикэйдлятебя #мэрикэйшуя #косметикаклассалюкс";1495015595;9;1755764210;False;мастеркласспокоже
BUUlveBhm4A;"@Regrann from -  4 шага к своему, женскому бизнесу🔻
👩‍💼
Стань Независимым Консультантом красоте!
🔻
1️⃣. Посети мастер-класс ""Уход за кожей"".
2️⃣. Узнай о возможностях бизнеса от Консультанта по красоте.
3️⃣. Приобрети #стартовыйнабор и оформи свой первый заказ🛍.
4️⃣. Начни свой бизнес с Мэри Кэй.💵
.
ЕСЛИ Я СМОГЛА👇
🔹построить карьеру с компаний
🔹стать Лидером Бизнес-группы, совмещая с основным местом работы.
🔹получить бриллианты💎высокий доход💱 и подарки 🎁🎁🎁
🔹иметь возможность путешествовать несколько раз в год.
И ТЫ ТОЖЕ СМОЖЕШЬ! 🛍💵🚘💞💯Ведь у тебя буду я😊.
.
Запишитесь прямо сейчас на мой #мастеркласспокоже. ➡www.marykay/asel
.
Около 7 лет помогаю женщинам изменить свою жизнь к лучшему! Мне доверяют, как профессионалу😊. #стать_консультантом_мэрикэй #работадлямамвдекрете #мэрикэйдлятебя #мэрикэйастана# #косметикаклассалюксОнлайн каталог здесь www.marykay.kz/asel 😉 Заказать по Астане 📲87077263191";1495299524;17;1428745203;False;мастеркласспокоже
BV_rNMLDxIu;"Друзья, мы можем провести мастер класс на вашем празднике или презентации, ваши клиенты будут в восторге от сувенира, который они сделали сами.
Обращайтесь в директ или по номеру, указанному в профиле @taiga_store;) #taiga_store #audikrsk #презентация #мастеркласспокоже #своимируками #красноярск";1498892713;93;1761607515;False;мастеркласспокоже
BW15khWgfoR;"На этом канале вы увидите  готовые изделия, выполненные в моей  авторской технике, примеры ремонта изделий из кожи и меха.
Вы сможете увидеть способы и образцы перешива изделий из кожи и меха.
Я поделюсь с вами своими секретами как можно соединять различные формы-техники для того, чтобы изделию придать новую жизнь.
Я поделюсь своими авторскими секретами по уходу за кожаными изделиями.
Также на моем канале вы увидите различные мастер-классы по профессиональной работе с кожей и мехом,
где я поделюсь всеми своими секретами, всем своим многочисленным, многолетним опытом по
работе с этими материалами.
Записывайтесь на мои курсы, узнаете много нового по изделиям из Кожи и Меха.
Меня зовут Ирина Берзина,  я занимаюсь пошивом из меха и кожи профессионально уже в течении 20 лет.
Дизайнерские изделия из кожи и меха, выполненные в технике ручной сборки, с разнообразными аппликациями и отделками ""кожей-по-коже"". Здесь на канале увидите пошив и продажу эксклюзивных изделий из кожи и меха.
#иринаберзина #irinaberzina #design #дизайнер #изделияизкожи #изделияизкожиимеха #дизайнерскиеизделия #эксклюзив #кожаныеизделия #меховыеизделия #мастеркласс #мастеркласспокоже #работаскожей #курсыпоработескожей";1500712183;59;4040802319;True;мастеркласспокоже
