post_id;text;date;likes;owner_id;is_video;by_tag
Bn-w3ujlznN;"💖Кто с нами за  осенним рецептом для любимых!💖⠀
👉Готовы? Тогда записывайте!👈⠀
Берем ароматную розу , жгучую альстермерию , щепотку хризантемы, пару бустылинок  солидаго, ягодки калины ,  зелень фисташки и седума.
Замешиваем всё это в сочную осеннюю тыкву. Посыпаем щепоткой любви. ⠀
Мысленно ""выпекаем"" наше блюдо в течении часа - полутора. И шедевр готов!💃 🙃
⠀
Голова кругом от количества непонятных слов?
Это пройдёт вместе с волшебницей Викторией Багаевой  @favorite_flower.spb и её мастер-классом по созданию шикарной осенней композиции в тыкве!🍁🍁🍁🎃🍁🍁🍁 🍁⠀
Чем этот мастер-класс полезен для вас:⠀
🎉Скоро день воспитателя и композицию можно подарить в детский сад!
А, как известно,  счастливые воспитатели - довольные дети😃 ⠀
🎉Можно подарить  композицию любимой бабуле в день пожилых людей. ⠀
🎉Можно украсить ей свою гостиную😍 ⠀
🎉И, конечно же, это возможность испытать свои силы в творчестве и создать собственный шедевр!😃⠀
⠀
👉Место: Розарио (пр.большевиков, 17)
👉Когда: 26 сентября в 12:00
👉Цена: 1900 рублей. ️Но! Двое самых первых записавшихся попадут на мастер-класс по специальной цене - 1700 рублей!!!!!
🔥Спешите, количество мест всего 5! ✍️Для записи, обратиться к Ксении по Вотсапп 89602686903 или сообщения в ВК vk.com/kseny25 Инстаграм @belan4iki

Про поддержке @mamasup_spb
#mamasup_невский
#мк #мастеркласс #цветочныймастеркласс #цветочныймк #композициявтыкве #спб";1537516834;43;3004789706;False;цветочныймастеркласс
Bn0ho5ngOtu;"Как же здорово мы отработали на #маркет4сезона 🌻🌾🌿
Поколдовали немного с нашими гостями и подарили всем такое солнечное осеннее настроение🍁🌾🍂 Спасибо всем участникам💖 По вашим просьбам будем устраивать мастер-классы почаще🤗
Для заказа:🌿
📲 +7-916-797-01-95
‭+7-903-687-59-23‬
📩 master3oflo@gmail.com
#мастерКласс#флористика#девичник#корпоратив#цветочныйМастерКласс#досугНаПраздник#цветы#флорист#TreeOflo#цветыВкоробке#доставкаЦветовМосква#цветыМосква#венок#венокНаГолову#венокНевесты#плетениеВенков";1537173304;40;7537962422;False;цветочныймастеркласс
Bn0idzlHRAu;"⠀
❗️А у нас новый розыгрыш призов!  Победитель выиграет бесплатное участие в нашем мастер классе «цветочная тыква» в этот четверг! А за 2 и 3 место мы дадим скидку 50% и 30% соответственно!
⠀
Срок проведения конкурса с 17 по 19 сентября, победителя объявим в 18:00 в среду 19.09, а сам мастер класс пройдет в чт в 16:00 в нашем салоне по адресу Ул. Сервантеса 1к3.

А теперь правила: ⠀
✔️вы должны быть подписаны на наш аккаунт @servant_flowers и на аккаунт @servant.nail ⠀
✔️вам нужно отметить хотя бы одного друга под любой фотографией в каждом из наших аккаунтов
⠀
✔️ и финально - вам нужно написать под этой фотографией слово «участвую» и мы присвоим вам личный номер! 🍀Удачи!
⠀
#конкурс #бесплатныймк #giveaway #кудапойтисдетьми #детскиймк #мкдлядетей #цветочныймастеркласс #цветочныймк #цветывтыкве #тыква #цветочнаятерапия";1537173737;10;7599570494;False;цветочныймастеркласс
Bn26hGYAwj4;"На мой взгляд, цветочные семейные мастер классы очень объединяют и раскрывают таланты  по-новому 👨‍👩‍👧‍👦 Это очень классное время препровождения и классный подарок, например маме, Которая безумно любит цветы 💐
_____________
Приглашаю и вас попробовать Новый формат мастер класса «семейный» стоимость и свободные даты уточняйте 89265613768 
_______________
#семейныймастеркласс #семья #ходынкаlife #ходынка #цветочныймастеркласс #мастеркласспофлористике #семейныйотдых #люблюцветы #цветылучшийподарок #подарочныйсертификат #эмоциивподарок";1537253456;51;2270219909;False;цветочныймастеркласс
Bn39syIHv9G;"Друзья, прекрасные новости, для тех, кто давно хотел научиться делать букеты 💐 в подарок своим родным и близким! 
Мы запускаем ""Хобби-курс""🌿
Курс включает:
🔸Классический круглый букет, сборка по спирали;
🔸Оригинальный букет в параллельной технике;
🔸Композиция в корзинке во флористической губке.
Детали:
☑️3 занятия по 3 часа каждое.
☑️Уровень: с нуля, не для флористов.
☑️Расписание: вторник, четверг - с 19 до 22 и третье занятие в субботу с 11 до 14.
☑️Занятия проходят в группе (всего 3 человека)
☑️Стоимость: 13 000 рублей
☑️Старт во вторник 2го октября
☑️Регистрация по телефону 89167573939
‼️Идет набор в группу
#флористикавудовольствие";1537288679;130;2028704097;False;цветочныймастеркласс
Bn3_LdEnY4h;"Всем привет!

Вот и наступили прохладные выходные, когда особенно важны хорошая компания и чашечка чая или кофе, а если ещё и есть возможность делать вместе что-то интересное - это вообще мечта😍

Поэтому предлагаем вам провести воскресный вечер 30 сентября с 16:00 с @bloom_house_kh в антикафе ""Обломов"" на цветочном мастер-классе, на котором каждый участник создаст свою цветочную композицию (фото приведено для примера, но концепция будет похожая). Конечно же, все вырученные средства идут на лечение Юли @tytovajulia. 
Стоимость участия - 300 грн+отдельно оплачивается время, проведенное в антикафе (50 грн час, мастер-класс рассчитан на 2-2,5 часа). Для записи вам нужно перечислить предоплату в размере 100 грн на карту Юле @tytovajulia и прислать подтверждение в директ!

Увидимся 30 сентября 😉 будем пить чай/кофе, создавать красоту и помогать Юле🙏

P. S. Количество участников ограничено!

#save_julia #savelife #save_the_life #cancer #cancerfighter #fuckcancer #cancerwarrior #chemotherapy #nevergiveup
#рак# #ракдурак #лимфомаходжкина #ракуходи #giveaway #donation #like4like #follow4follow #харьков #мастеркласс #цветочныймастеркласс #творидобро #благотворительность";1537289455;99;8281975073;False;цветочныймастеркласс
Bn5-t5agD59;"Девочки, 29 сентября будет повтор мастер-класса по георгину!🔥 Начало в 11:00. Москва. Стоимость участия 3500₽. С собой ничего приносить не надо. Уйдёте с готовым цветком🌼
Будет одна группа 4-5 человек. И все🤗
Пишите в Директ - пришлю всю подробную информацию👌";1537356868;245;269579268;True;цветочныймастеркласс
Bn5OgL1HVyW;"Доброе утро, друзья!⠀⠀
У нас снова БЫСТРЫЙ КОНКУРС БЕЗ РЕПОСТОВ⠀⠀
Пусть повезёт именно тебе 🎉⠀⠀
Разыгрываем цветочный комплимент и мишку!⠀
____________⠀⠀
Правила конкурсаса просты,их всего 2:⠀⠀
📌Быть подписчиком @orangeflower73 ;⠀⠀
📌Отметить в комментариях под этим фото #хочуподарокотorangeflower73 и отметить 2-х человек(реальных людей, не боты и не магазины);⠀⠀
___________⠀⠀
🔎Даём подсказку: чем больше вы оставите комментариев под фото,тем больше шансов выиграть,потому что👉⠀⠀
🏆Победителя мы выберем «методом тыка» СЕГОДНЯ ВЕЧЕРОМ⠀⠀
Всем удачи ❤️⠀⠀
Стоп в 19:00 по местному времени⠀
__________⠀⠀
Удобный онлайн-заказ и доставка по городу и всему🌍⠀⠀⠀
☎(8422)41-80-90⠀⠀⠀
￼📞WhatApp/Viber +7(951)094-97-97";1537331043;220;690333244;False;цветочныймастеркласс
Bn6S_4MFXJP;"Друзья, у нас великолепные новости☺️
30 сентября приглашаем всех желающих на  мастер-класс: «Цветочная композиция в шляпной коробке». Не упустите возможность побыть в роли фокусника, который простую шляпную коробку превращает в прекрасный цветущий сад 💐🎩 На мастер-классе вы сможете:
- выпить чашечку ароматного кофе;
- узнать о правилах ухода за срезанными цветами;
- поболтать про цветы; - принять участие в фотосессии со своими работами.
Стоимость 2500₽🤗 #veresk_spb 
Записаться на мастер-класс и задать все интересующие вопросы, вы можете по телефону +7(965)080-09-65 ☝️ссылка в шапке профиля 
Мероприятие будет проходить по адресу: улица Моховая, д.26";1537366954;102;1773683024;False;цветочныймастеркласс
Bn88csLHV6e;"Что самое важное в цветочном деле, кроме умения создавать букеты?
Конечно, их правильно фотографировать!
🔆Основные правила фотосъемки цветочных композиций на телефон, которых мы придерживаемся и советуем обратить на это внимание:
☑️По возможности снимать при дневном естественном свете, так как очень важно передать настоящие цвета и оттенки цветов
☑️Свет должен падать из окна сбоку и быть рассеянным, чтобы не засвечивалась и не терялась фактура цветов
☑️Лучше всего использовать специальные фотофоны с однородным цветом, чтобы ничто не отвлекало внимание от натуры
☑️Если день выдался пасмурным, можно использовать светоотражатели (подойдет даже обычный белый ватман)
☑️При настройке камеры в телефоне, можно выбрать режим ""Сетка"", это поможет вам правильно расположить цветочную композицию в кадре
☑️Для более четкого снимка, можно сначала сфокусировать камеру одним нажатием в центр композиции, а потом зафиксировать композицию двойным нажатием
☑️Человек в кадре - всегда более выигрышный и интересный вариант для съемки, это не только привлекает больше внимания и лайков, но и дает возможность клиентам оценить реальный размер композиции
☑️Для редактирования полученных фотографий вы можете скачать приложения: Snapseed, VSCO и Retouch.
Подробно о том, как правильно и выигрышно делать фотосъемку  и вести свой цветочный бизнес, мы расскажем в нашем новом онлайн-курсе ""О флористике по делу"".
‼️Старт - 1 ноября, собираем заявки и пожелания.";1537455795;80;2028704097;False;цветочныймастеркласс
