post_id;text;date;likes;owner_id;is_video;by_tag
7mxK-PomBl;"Решила показать, как делала корону на торт. Такую нежную и воздушную корону можно конечно сделать из айсинга , но транспортировке она не поддается. 
В интернете полно мастер классов на эту тему, но использование затвердителей для ткани или клея в нашем случае нецелесообразно, ведь мы хотим водрузить корону на съедобный продукт. 
Итак, берем кружево. Потолще и покрасивее. Стираем его с мылом и высушиваем.
Растворяем 10 гр желатина(у меня листовой), в 1 стакане воды. После набухания подогреваем на огне до полного растворения. ( стоит отметить, что у меня быстрорастворимый желатин, если вы используете другой - уточните время его набухания. На это, бывает, нужен час) 
Охлаждаем желатиновый раствор и опускаем в него наше кружево.
 Вешаем сохнуть. 
Скручиваем в кольцо и скрепляем клеевым пистолетом. 
Далее корону окрашиваем. Я использую пищевой серебряный спрей марки #wilton (color mist). Можно прокрасить кондурином. Одеваем на банку подходящего размера для высыхания. 
Желаю удачи✨💫💥 Если сделаете корону, отметьте меня, очень интересно будет посмотреть, как у вас получилось 🙌";1442222405;85;627287199;True;мккорона
BBI6OfhpvZO;"Автор 👉 @bagheeranails 👍 г. Калининград 
#manikur #manikurbest #nails #дизайнногтей #идеидизайнаногтей #рисункинаногтях #росписьногтей #рисункигельлаками #роспись#кошачийглаз #идеальныйманикюр #идеальныеблики #вязаныеногти #ручнаяроспись #идеиманикюра #мастерманикюра #гельлак #шилак #френч #nailpolish #ногти#nails #nailart #красивыеногти #красивыйманикюр #маникюр #мкногти #мккорона #корона #аппаратныйманикюр #шеллак";1454105421;222;2233137492;False;мккорона
BBXy28YTHcu;#мк#мккорона#ногтеваястудиялюдмилыевтеевой#саратов#дизайнногтей#дизайнногтейгельлаком#дизайнногтейстразами#литье#литьенаногтях;1454604875;58;319359892;False;мккорона
BDQiYZKq0xJ;#мккорона#литьенаногтях#переводнаяфольга#гелькраска_CristinaNails№2#художественнаяроспись#красивыеногтибрест#литекорона#mk_stil_ru;1458656322;26;2049737770;False;мккорона
BJBi2Hug4Yu;"Поближе вам красоту 👑
#inshot #girls #cute #summer #blur #sun #happy #hot #cool #fashion  #smile #instamood #family #nofilter #amazing #style #love #photooftheday #lol #my  #ногтикалининград #ногти39 #калининградногти #выравниваниеногтевойпластины #корона #коронананогтях #френчманикюр #френч #nailswag #мккорона";1471038151;72;1647634408;False;мккорона
BQYQRx3BMNO;Сегодня была в роли учителя 🤘🏻 классной ученицы Амины🤗 хочу поблагодарить магазин натуральных камней и фурнитуры @diyastana . Прекрасное помещение, шикарный магазин вкусный чай , Классные девочки-консультанты ))) мы просмотрели и пощупали все камни, изучили фурнитуру и все , что можно с ней сотворить🤗 Уже есть идеи для нового о МК. Надеюсь моя информация и секреты исполнения будут полезны. Всем большое спасибо 😊;1486832554;69;386932734;False;мккорона
BX5az_FB9Vq;"Добрый вечер всем 😊 
Рада представить вашему вниманию своё детище, видео мастер-класс🤗
В МК входит процесс ПАЙКИ каркаса короны, декор короны бусинами и стразами, тесьмой. Разбор материалов и инструментов, ссылки на все материалы необходимые для создания короны😌.
Плюс я покажу изнанку всех своих корон в наличии с разбором техники и недостатками и преимуществами💪.
Даю ссылку на скачивание и вордовский файл.
После просмотра можете задавать вопросы, разберём в прямом эфире в закрытом аккаунте.
Стоимость уточняйте в директ или по ссылке в био ☝
Внимание ❗
❓к подписчикам ✌ вам интересна история моего пути как мастера? С 2009г?)))";1502977759;84;1518136097;False;мккорона
BXPlcBLA92b;"Здравствуйте! Я - Елена! 👋🏻😊 И я очень рада новым друзьям! Предлагаю познакомиться поближе! Я - профессиональный дизайнер 🙌🏻, создаю то, что оставляет надолго сильное впечатление в сердцах людей! ❤️
--------
Здесь представлены мои авторские работы. ✨👑 Мой опыт в данной сфере более 15 лет. 😌
Закончила Академию Художеств. 8 лет одевала сцену. Мои работы обитают: в США, Испании, Бельгии, Египте, Израиле, Японии, Германии, Франции, России (в Москве и др.городах). ✈️🏙
--------
⚜️ Я создаю эксклюзивные и неповторимые в своем роде дизайнерские аксессуары, украшения, занимаюсь декором одежды, обуви и головных уборов. 👗👠👑
-------
⚜️ Я создаю украшения, которые не боятся воды, так как бумага и прочие подобные материалы (боящиеся воды) отсутствуют в моих изделиях!
-------
⚜️ В создании моих украшений используются материалы класса люкс 💎 (кристаллы Сваровски, Япония, Чехия, Корея).
➡️ #вналичии_виленардо
-------
⚜️ Помимо создания украшений и аксессуаров я занимаюсь ещё и обучением! 🔥🙌🏻
➡️ #мквиленардо 
На мастер-классах и индивидуальных занятиях я поделюсь с вами всеми секретами, знаниями и фишками. Мои мастер-классы подходят как для начинающих (настоящий старт в хендмейде), так и для профи, кто хочет прокачать свои навыки и умения и освоить новые техники! 🙌🏻
-------
🙋🏻Я очень люблю свою работу и очень уважаю творения других мастеров! Давайте знакомиться! 😊Кто вы и откуда? Почему подписаны на меня? Как меня нашли? 😊
------
💛 С уважением к вам! Ваша Вилена Ленардо. 🌟
------
#виленаленардо #дизайнервиленаленардо #vilenalenardo";1501574043;67;1655145705;False;мккорона
BXmWW8ohTIU;"‌Короны - самый востребованный аксессуар последних лет. Актуальны для свадебного и вечернего образа.👰👸
Рада представить вашему вниманию авторский видео мастер-класс по пайке и декору короны.👏
🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹Единственный подробный видео МК по пайке! Аналогов нет! 🔹🔹🔹🔹🔹🔹🔹🔹🔹
Рассказываю все свои секреты и наработки.💪
Даю подробный план и описание, и даже ссылки на инструменты и материалы😱.
МК будет полезен и новичкам и мастерам.🙌
Подробности в директ или по ссылке в био. 👆";1502337889;87;1518136097;False;мккорона
BXmmparhaso;"‌Короны - самый востребованный аксессуар последних лет. Актуальны для свадебного и вечернего образа. Хотите научиться делать так же?
Я усердно трудилась последние 1,5 месяца, и рада представить вашему вниманию авторский видео мастер-класс по пайке и декору короны. Рассказываю все свои секреты и наработки. Подробный план и описание, и даже ссылки на инструменты и материалы😱.
Для любого уровня, для новичка в хендмейде и для мастеров.
Стоимость уточняем в директе @korona102 или оставляем коммент. Торопись, первым трём покупателям скидка!
Пиши прямо сейчас пиши в директ @korona102 !";1502346429;312;1641453449;False;мккорона
BXsgf8ihxh8;"Как ваши выходные, друзья? Мы с дочкой готовим вишневый пирог и безе))
между делом сняла по многочисленным просьбам видео, можно любоваться блеском хрусталя и камней 😍😍😍
Первое Видео при дневном свете, второе на солнышке) и не спрашивайте, где я его взяла в такой дождливый день 🙈😀
Кстати, видео МК именно по этой короне, весь директ завален вопросами, я не могу всем ответить, превышен лимит сообщений в директе 🙈🙈🙈";1502544533;130;1518136097;False;мккорона
