post_id;text;date;likes;owner_id;is_video;by_tag
BlgBAu3jma2;"ГОРОСКОП ВЯЗАЛЬЩИЦЫ:

СТРЕЛЕЦ. Стрелец отличается непостоянством вкусов и предпочтений, крайней неусидчивостью, неординарностью мышления. Его девиз по жизни «все и сейчас» не совсем сочетается со скоростью вязания или какого-либо рукоделия. Тем не менее, если он берется что-либо делать, то это будет вещь, отличаемая нестандартным подходом, в этническом стиле, либо достигнутая смешением стилей и приемов вязания (спицы и крючок, крючок и макраме). Если, конечно, его энергии хватит довести дело до конца.

Длинный, как туника,  жилет, связанный свободной вязкой.";1532190142;113;3302028066;False;мквязаниеспицами
BlhvzQ5jLH8;"ГОРОСКОП ВЯЗАЛЬЩИЦЫ:

КОЗЕРОГ. Также относится к «труженикам» рукотворного фронта. Сможет осуществить практически любую задуманную идею. При достаточных навыках может с легкостью освоить шотландское кружево, вязание невесомых шалей и ирландское вязание. Консервативен, предпочитает проверенные временем и единомышленниками пряжи и способы вязания. Сам Козерог одевается «просто и со вкусом». Редко берется за нестандартные и авангардные проекты. Но во всех правилах есть исключения.

Скоро бархатный сезон, свяжем купальник?";1532248227;67;3302028066;False;мквязаниеспицами
BqE9WGLBt3d;",,волшебный’’ набор петель Джуди .Резинка 2 на 2.
________________________________________#вязание #вязаниешарфов #Вязаниеастана #knitting#knitting_n#мквязание#мквязаниеспицами";1542019832;9;8898191995;True;мквязаниеспицами
Bt-ObFPDLRD;Свитер в наличии у @irina_hleb68  размер 44-46-48 💐 _______________________________________________________Мы публикуем изделия ручной работы  Обращайтесь в Директ 🌿#вязаниеназаказ #вязаныйкостюм #sweater#knitting#knitwear  #кардиган#схемавязания #вязаныйкардиган#lalo#lalocardigan#кардиган #мквязание#кардиганлало #coat#handknitted #свитерженский #вязанаяодежда #одежданазаказ #бомбер#мастеркласс #мквязаниеспицами #оверсайз #handmade#описаниевязания #ручнаяработа#модныйсвитер #вяжутнетолькобабушки #мк #вязаныйпуловер #вязаныйсвитер #свитер;1550383676;261;5116000784;False;мквязаниеспицами
Bt0YH7dD0rm;"Нас тут присылало снегом😀
⛔Комплект:шапка и варежки⛔, листайте😊
А кто хочет сам связать подобную модель шапки - пишите в директ,  у меня есть подробный Мастер класс шапки, 300 р";1550053217;439;2157563451;False;мквязаниеспицами
Bt2079nAggn;"Простая #бини, все вяжут. 
Вы хотите? 
Вот вам в помощь #описание. 
Вяжем из Rabbit Angora.
25 г 160 м
В 2 нити
Спицы 3.5.

Набираем четное количество петель. 
На 55 размер 88 петель. 
Если ваш размер больше, то и петель больше. Но обязательно кратное 4. Потому что макушка состоит из 4-х клиньев с равным количеством петель.

Набор классический, но достаточно свободный. 
Вяжется лицевой гладью 2-12 рядов. Если хотите небольшой валик, то 12 рядов. Хотите чтоб край не закручивался, то 2
Потом делаем 2 полых ряда. 
Далее вяжем лицевой гладью до высоты 21 см. Если хотите с отворотом, то выше на ширину отворота.

И приступаем к макушке.
Делим количество петель на 4. 
Выделяем по одной центральной петле, около которой и будут убавки.
Справа от центральной петли вяжем две вместе лицевой с наклоном влево, слева от центральной провязываем две вместе лицевой с наклоном вправо.
Так вяжем ряд убавок.
Следующий ряд вяжем без убавлений.

Чередуем ряды с убавки и без убавлений пока на спицах не останется 8 петель.

Обрываем нить с небольшим запасом и вдеваем ее в иглу. Протягиваем эту нить через все петли на спицах и стягиваем нашу макушку. Саму нить прячем в вязание.
Далее изделие стираем и аккуратно отпариваем. Без фанатизма 😉

Макушка получается аккуратная.
Шапка теплая и пушистая.

Если остались вопросы, задавайте их в комментариях. 
Приятного вязания.

________________________
#mk_knittingworld";1550135432;76;10895972825;False;мквязаниеспицами
Bt20L5jjIcF;"Привет🙃
Начнём со свитера, раз он набрал больше голосов😊.
#ne_летний_свитер
🔵🔵🔵
Свитер прямого покроя, сшивной, перед и рукава выполнены в технике интарсия.
Описание не попетельное, без привязки к плотности и размеру, с построением выкройки ДЕТСКОГО свитера.
Кроме классического способа, будет использован универсальный метод построения горловины. Как раз для меня, гуманитария🤣.
🔵🔵🔵
В вязании свитера я использовала:
Пряжу Drops Baby Merino (175м/50г)
Спицы 2,5 для резинки и 3 для основного полотна.
Все нижеуказанные мерки и значения индивидуальны, у меня - на возраст 3 года. Для примера буду их указывать.
🔵🔵🔵
Для построения чертежа выкройки нам понадобятся следующие мерки:
1. Полуокружность шеи (ПОШ). 30см:2 = 15.
2. Полуокружность груди (ПОГ). 54см:2 = 27.
3. Длина изделия (ДИ). 32см.
4. Длина спинки до талии (ДТсп). 22см. 
5. Длина рукава (ДР). 36см.
❗️В интернете есть информация, как правильно снять мерки. Это важно☝️.
🔵🔵🔵
Кроме мерок, потребуется плотность вязания- количество петель и рядов в 1 см.
Это обязательно🤪.
Свяжите образец размером 12х12, проведите с ним ту влажную (ВТО) обработку, которую планируете проводить с готовым изделием.
Измерьте количество петель и рядов в 10 см, с точностью до десятых☝️.
В моем образце в 10 см 29,5 петель и 39,5 рядов.
Значит, в 1 см- 2,95 п х 3,95 р.
Выкройку буду строить В ПЕТЛЯХ и РЯДАХ. Так удобнее для выполнения интарсии.
🔴🔴🔴
ВЫКРОЙКА
См. карусель.
❗️Я округляю полученные цифры в меньшую или большую сторону.
🔺🔺🔺
Для начала начертите прямоугольник со сторонами:
🔹86 петель - ширина изделия.
Как считать:
ПОГ + 2 см (свобода облегания) = 27+2=29. Умножить на плотность в 1 см.
29 х 2,95 = 86.
Из 86 петель - 2 кромочные.
На свободу облегания обычно добавляют 2-4 см.
🔹126 рядов - высота (длина) изделия.
Как считать:
ДИ х плотность рядов в 1 см =
32 х 3,95 = 126.
🔺🔺🔺
Разделите прямоугольник вертикальной чертой посередине. Отметьте точки А, В, С.
Отметьте горизонтальную линию - линия груди. 
Считать так:
(ДТсп : 2) + 1см = (22:2)+ 1 = 12см.
12 х 3,95 = 48 рядов.
Отметьте точку Е.
Окончание 1 части в карусели.
#ne_описание";1550135039;1154;3061327755;False;мквязаниеспицами
Bt2dei3jXeV;Мастер @kazakova_knitwear _______________________________________________________Мы публикуем изделия ручной работы  Обращайтесь в Директ 🌿#вязаниеназаказ #вязаныйкостюм #sweater#knitting#knitwear  #кардиган#схемавязания #вязаныйкардиган#lalo#lalocardigan#кардиган #мквязание#кардиганлало #coat#handknitted #свитерженский #вязанаяодежда #одежданазаказ #бомбер#мастеркласс #мквязаниеспицами #оверсайз #handmade#описаниевязания #ручнаяработа#модныйсвитер #вяжутнетолькобабушки #мк #вязаныйпуловер #вязаныйсвитер #свитер;1550123133;139;5116000784;False;мквязаниеспицами
Bt4VPPkDVvW;"Объявляю набор на тестирование шапочки.
Для того,что бы принять участие в тестировании,необходимо быть подписанным на меня,поставить лайк и написать в комментарии о желании. Будьте готовы выкладывать свои работы. Ещё жду хорошего настроения и желания учиться! 
#вяжутнетолькобабушки #вязаниеспицами #вязатьмодно #вязаниеслюбовью #вязаниенаспицах #вязаниемоехобби #вязаниеназаказ #вязаниемояжизнь#катюшкавяжет #мквязание #мквязаниеспицами #бесплатноеописание #описаниевязания#учусьвязатькрючком #учусьвязать #учусьвязатьспицами#вязаниеновичок";1550185922;20;9209437180;False;мквязаниеспицами
Bt5CER2DU4S;"Вдохновившись обилием цвета влюблённых ❤️🍷🎈💔
.
Работа Вероники @barbie.nika по моему описанию #свитер_Venezia в цвете любви с мерцающими искорками😍✨
.
Вероника в нём, как роза сорта black baccara🌹

Описание на размеры S/M/L, очень подробное, стоимость 400₽, для покупки пишите в Директ";1550209425;318;6065829382;False;мквязаниеспицами
Bt5E8etD7kq;Мастер @_love__mi_ _______________________________________________________Мы публикуем изделия ручной работы  Обращайтесь в Директ 🌿#вязаниеназаказ #вязаныйкостюм #sweater#knitting#knitwear  #кардиган#схемавязания #вязаныйкардиган#lalo#lalocardigan#кардиган #мквязание#кардиганлало #coat#handknitted #свитерженский #вязанаяодежда #одежданазаказ #бомбер#мастеркласс #мквязаниеспицами #оверсайз #handmade#описаниевязания #ручнаяработа#модныйсвитер #вяжутнетолькобабушки #мк #вязаныйпуловер #вязаныйсвитер #свитер;1550210934;538;5116000784;False;мквязаниеспицами
Bt5Ou_rjgEG;"🍓Весенние наборы🍓
⠀
Вчера я рассказывала вам о том,что в магазинах наблюдается изобилие велюра для модниц. А сколько плюшевых, пушистых и велюровых головных уборов, повязок, снудов.....голова кругом.🙀🙀🙀🙀🙀🙀🙀🙀🙀🙀🙀🙀🙀 А какая космическая цена у этой красоты я и говорить не стану!
⠀
Сегодняшняя подбородка как раз для создания таких модных аксессуаров. Можно поиграть с разнообразным сочетанием цветов и фактур! Из некоторых наборов получатся тёплые невесомые шали, мягкие кардиганчики и яркие свитера.🤗
⠀
Содержание наборов для различное. В фото-карусели представлены сеты из наличия. Все они имеют одну цену: 990 рублей.
⠀
Доставка по России. Также возможен самовывоз из магазина в городе Губкин. Адрес: г. Губкин, Комсомольская 24.
⠀
Наличие  и составы наборов уточняйте в личных сообщениях.
⠀
#шапкадлядетей
 #игрушкиручнойработы
 #игрушкакрючком 
#игрушкивязаные
#повязканаголову  #мастерклассповязанию
#мквязаниеспицами
 #мкамигуруми
#схемыамигуруми
#толстаяпряжадешево
#сезоннаяраспродажа
#кобинезоннавыписку
#кардиганспицами
#схемывязаниякрючком
#спицыдёшевокупить";1550216066;46;4136163494;False;мквязаниеспицами
Bt5QaeYDrBg;"Вышел в свет Мастер класс по вязанию снуда ""RimeBranch"". Вам не составит труда его связать, пользуясь описанием, подсказками, ссылками.

Если вы совсем новичок в вязании, веду до конца в создания снуда.

Купи сейчас и получи возможность весной быть модной и красивой.

Мастер класс сегодня 200 руб, вместо 250 руб.

По всем вопросам писать в Директ.";1550216947;137;5787781752;False;мквязаниеспицами
Bt5QlzmjnFL;"Сегодня, отвязывая очередной образец, вспоминала как начинала свои первые шаги в вязании.

Один за одним факап: вязать без образца! (многие ведь так делали?)) когда ты в мыслях уже ходишь в новенькой шапке, а в итоге можно в нее заварачиваться в несколько слоев. 😅

Когда опыт приумножился, взялась я за росток, и для меня это оказалось дремучим лесом, плюс я левша. Наверное, перевязов было штук 10. 😄

А какие у вас были провалы? Рассказываете, посмеемся. ✨

#вязание #вязаниеспицами #вяжкмвместе #вязаныйсвитер #свитерспицами #мксвитера #кардиганспицами #вязаныйджемпер #джемперспицами #вяжутнетолькобабушки #вяжусама #knitstagram #мквязание #мквязаниеспицами #мксвитер #sweater #мкджемпер #мккардиган #ажурныйузор";1550217040;153;4770596250;False;мквязаниеспицами
Bt5e5MPjeee;"Вчера прошел день святого Валентина,но так как это праздник не имеет к нам никакого отношения,мы его не праздновали.

Если влюбленные хотят друг другу сделать что-то приятное,порадовать,признаться в любби,то не обязательно это делать в 14 февраля. Да и в этот день не особо ждёшь сюрприза,т к это очевидно!

Для каждой семьи есть день,когда они поженились или начали встречаться,а день влюбленных мне кажется начали праздновать в России из-за предпринимателей,которые в этот день делают огромную наценку на цветы,на все что выглядит в форме красного сердца,ну или имеет отношение к этому празднику. 
На 8 марта тоже взяли моду в тридорого все продавать,поэтому мне кажется лучше подарить что-то более достойное и приносящее действительно удовольствие! Я предлагаю подарить своим девушкам какой-то аксессуар,ювелирные украшения(пусть даже не дорогие) или сертификаты на какую-то покупку в магазин,о котором мечтает она) Мужчинам конечно цветы не дарят, но можно подарить комплект шапка+шарф,из качественной пряжи,хорошей модели,ведь мужчины носят это годами и восновном имеют один комплект) 
Шапочка представлена из хлопка, двойная с интересным узором.
#вяжутнетолькобабушки #вязаниеспицами #вязатьмодно #вязаниеслюбовью #вязаниенаспицах #вязаниемоехобби #вязаниеназаказ #вязаниемояжизнь#катюшкавяжет#мквязаниеспицами #бесплатноеописание #шапкиспицами #мамаребенок #подарки";1550224539;23;9209437180;False;мквязаниеспицами
Bt5tn-gjVgI;"Лимончик😊так и веет весной  и солнышком ☀️☀️☀️На фото 5 -6см-150
Доставка в регионы -200р
Продажа от 1 шт🔥🔥🔥
#помпоныкролик #помпоныкроликрекс #меховыебубоны #бубоныдляшапок #вязпниеспицами #вяжуназаказ #вяжудетям #вяжуслюбовью #вяжуспицами #помпонынашапку #помпоныназаказ #вязаниеназаказмосква #шапкаспомпоном #бубоннашапку #помпоненот #шапкашлем #шапкашлемспицами #мк #мквязание #мквязаниеспицами #бесплатноеописание #вяжуволгоград #меховыепомпоныволгоград #помпоныекатеринбург #помпоныновосибирск #помпонымоскве #помпоныпесец #";1550232262;157;6253981635;False;мквязаниеспицами
Bt75MJqjwKZ;Мастер @ipatova.natalya _______________________________________________________Мы публикуем изделия ручной работы  Обращайтесь в Директ 🌿#вязаниеназаказ #вязаныйкостюм #sweater#knitting#knitwear  #кардиган#схемавязания #вязаныйкардиган#lalo#lalocardigan#кардиган #мквязание#кардиганлало #coat#handknitted #свитерженский #вязанаяодежда #одежданазаказ #бомбер#мастеркласс #мквязаниеспицами #оверсайз #handmade#описаниевязания #ручнаяработа#модныйсвитер #вяжутнетолькобабушки #мк #вязаныйпуловер #вязаныйсвитер #свитер;1550305434;296;5116000784;False;мквязаниеспицами
Bt7x-zrj1e4;"Вышивка по лицевой глади или ""ленивый жаккард"".
.
Эти замечательные детские вещи вяжет @bebegim_orgulerim
Также на своей страничке она делится своим опытом. Там вы найдете видео как связать пинетки, платьица и многое другое. А в шапке профиля есть активная ссылка на ее видео на YouTube. Заходите и вдохновляйтесь.
----------------------------------
🎁🎁🎁
Большая подборка видео-МК для любителей вязания
👉 @mk.video.knitting.
Заходите👣.
Смотрите👁.
Подписывайтесь✍, чтобы не пропустить новые полезные видео-уроки.

#видеомастеркласс #видеоуроки #видеоурок #видеоурокповязанию #видеоузор #видеомк #мк #вышивка #урокивязания #урокиповязанию #узорвкопилку #мастерклассповязанию #мастерклассвидео #вязание #урокивязанияспицами #мквязаниеспицами #вяжутнетолькобабушки
#вяжутнетолькобабушкиноимамочки";1550301655;6634;8340042582;False;мквязаниеспицами
Bt863iTlxBW;#схемывязанияспицами #мквязаниеспицами #идеивязания #пряжа;1550339868;2;7333940971;False;мквязаниеспицами
Bt86PCSlXCu;#схемывязанияспицами #мквязаниеспицами #пряжа #идеивязания;1550339537;7;7333940971;False;мквязаниеспицами
Bt86ck3ls9K;#схемывязанияспицами #мквязаниеспицами #идеивязания #пряжа;1550339648;8;7333940971;False;мквязаниеспицами
Bt86t0QF1ky;#схемывязанияспицами #мквязаниеспицами #идеивязания #пряжа;1550339789;4;7333940971;False;мквязаниеспицами
Bt8JmyoFU8N;#схемывязанияспицами #мквязаниеспицами #пряжа #идеидлявязания;1550314041;2;7333940971;False;мквязаниеспицами
Bt8LolRD4uJ;"Представляю вашему вниманию подборку мк по носочкам @knitwear_pattern
.
В подборку входит 11 описаний носочков.
.
🌷 Цена подборки 200 рублей .
Для покупки ставьте "" + "" в комментариях или пишите в директ @knitwear_pattern
.";1550315104;434;7892340339;False;мквязаниеспицами
