post_id;text;date;likes;owner_id;is_video;by_tag
BPnO56kAT9A;💐Макраме кашпо для цветов. И такой вариант кашпо тоже смогу выполнить на заказ или обучить плетению. 📝Записаться на обучение макраме или сделать заказ на любое изделие  в технике макраме можно здесь: 👇oven54@list.ru #macrame #макрамедекор #кашпо #мастеркласс #интерьер #макрамемастеркласс #свадебныйдекор #свадьба #wedding #weddecor #невеста;1485187667;29;1725358415;False;макрамемастеркласс
Ba67gzMjeWk;"Happy Halloween 🎃💀👻
.
Обдумываю идею устроить мастер-класс по макраме. Есть желающие присоединиться? 🌿✨
.
#macramemakers #halloweenmacrame #macramedecoration #macramedecor #макрамеспб #макрамемастеркласс #воркшопспб #мастерклассыспб #ohmyknot #ohmyknot_planthanger #ohmyknot_wallhanging";1509470908;106;1734928935;False;макрамемастеркласс
BbhUIx1D4hY;"I really like interior things like vases, candleholders, pillows, blankets. This all makes the house cozy and warm. Do you have any things that make your house cozy? Tell me, what do you like to buy for this? 🌿✨
.
Я очень люблю интерьерные вещи типа ваз, подсвечников, подушек, пледов. Это всё делает дом уютным и тёплым. А в вашем доме много вещей, которые создают то самое ощущение «хюгге»? Расскажите, что вы любите покупать для этого? 🕯
.
#macramepillow #macramepillowcases #макрамеспб #макраменазаказ #макрамемастеркласс";1510758887;85;1734928935;False;макрамемастеркласс
BbyWvgHjtm2;"🌿 Важное объявление! До мастер-класса остаётся всего 3 дня и лишь пара свободных мест. Поторопитесь! 🧐
🌿 Приглашаю творить своими руками интерьерное панно, которое украсит ваш дом или вы сможете презентовать его в качестве подарка на Новый год! Ведь лучшие подарки — те, которые с душой!
🌿 Если вы ещё в раздумьях, то оставьте сомнения и присоединяйтесь! Для того, чтобы записаться нужно просто написать мне в direct! 🌿 Напомню, что МК будет проходить в уютном @sewclass в центре города!
🌿 Стоимость 1500 рублей!
.
#macrameworkshop #макрамеспб #макрамемастеркласс #мастерклассыспб #макрамесновавмоде";1511330678;127;1734928935;False;макрамемастеркласс
BcFMhBcDJc1;"Ещё один близнец моего мастерклассного панно красуется теперь у Даши дома! Многие волновались, что 4 часов может не хватить для создания такого изделия, однако, как выяснилось, можно управиться всего за два ✌️ Главное — правильная мотивация 😅 @daryapodobed Да же?
.
#macramewallhanging #macrameworkshop #макрамеспб #макраменазаказ #макрамемастеркласс #ohmyknot #ohmyknot_workshop";1511962851;174;1734928935;False;макрамемастеркласс
BeLI3WyBydL;"Думаете я умею плести все узлы макраме? ➿ Нет 😆 я еще многому учусь! 🙇🙌
.
.
.

ВНИМАНИЕ! ДЛЯ ТЕХ, КТО ХОЧЕТ НАУЧИТЬСЯ ПЛЕСТИ, ДЛЯ НОВИЧКОВ, вконтакте есть замечательный мастер макраме - ЛЮБОВЬ ЛОПАНЦЕВА (г. Волгоград) В ее макраме группе проходят увлекательные БЕСПЛАТНЫЕ ОНЛАЙН МАСТЕР - КЛАССЫ 👍 Например, к любому празднику она проводит онлайн мастер-класс на тематическое изделие! Есть платные обучающие курсы! Скоро Люба организует начало крутого МАРАФОНА по обучению макраме ДЕТОК И ИХ РОДИТЕЛЕЙ! Стоимость участия всего 350 руб!!! Она все подробно, интересно рассказывает и показывает! Ответит на все ваши вопросы, касаемы МАКРАМЕ ИСКУССТВА, и решит с вами любую задачу! 🏃 в группу к Любе 
https://vk.com/macramelittlemuse
.
.
.
_______

#онлайнурокимакраме #преподавательмакраме #мастермакраме #хочунаучитьсяплести #мастерклассмакраме #учимсямакраме #узлымакраме #яоченьлюблюмакраме #ilovemacrame #macrame #марафон #макрамемастеркласс #макраме #полиэфирныйшнур #плетение #ручнаяработа #хендмейд #handmade #мастеркласс #makrame #art #accessories #mywork #macramessage #modernmacrame #учусьмакраме";1516457231;78;2690496166;False;макрамемастеркласс
Bf8qeZPhS8H;Макраме,большая книга 320стр.полный курс самостоятельного обучения по плетению различных узлов в технике макраме,а так же изготовлению интерьерных пано,плетёных кашпо,штор и многое другое.,вы самостоятельно можете выполнить любое изделие,автор Кузьмина.издательство Москва Легпромбытиздат 1991г.книга исполнена в подарочном варианте,размеры 20×27см,цена 1500+доставка поРоссии.оплата на карту сбербанка#продажажурналов,#букинистическиймагазин#продамжурналы#макраме#курсымакраме#макрамекурсы#урокимакраме#макрамеуроки#макрамеонлайн#обучениемакраме#макрамемастеркласс#макрамероссия;1520266503;83;7068237833;False;макрамемастеркласс
Bg87vgQhq4-;"🤓 ☝Сегодня я хочу научить вас плести 🙇 мой любимый узел ""ЖОЗЕФИНА"" 💛 Это название и сам узелок я помню еще с детства, когда училась макраме. Плести его несложно, я вам покажу. Но для начала, еще раз расскажу его интересное значение☝
 Состоит он из двух переплетенных между собой петелек. В Китае его называют ""Двойной монетой"" - Double Coin Knot. Считается, что он символизирует две соединенные старинные монеты, что в свою очередь обозначает БЛАГОПОЛУЧИЕ и ДОЛГОЛЕТИЕ. ""Денежный"" узел Double Coin часто подвешивают над входом в магазины или офисы, чтобы привлечь клиентов, а следовательно, получить хорошую прибыль! 😁🙌 Узел ""Жозефина"" можно использовать не только в декоре (панно, кашпо, шторы..) - он отлично используется, как самостоятельное украшение (колье, браслеты и т.д.)
Мои сумки #BolsoMiAmor также украшены этим символичным узлом! 💃
Итак, небольшую историю узла Double Coin Knot я вам рассказала, как плести его показала (не судите строго!)😂🤘
От меня вопрос ❓ 
А кто-нибудь знает, откуда произошло его второе имя ""Жозефина"" ?.. 🤔
.
.
.
.
_______

#онлайнурокимакраме#macrame#doublecoin #doublecoinknot#жозефина#мастерклассмакраме#учимсямакраме#узлымакраме#яоченьлюблюмакраме#knots#ilovemacrame#macrame#knotmacrame#макрамемастеркласс#макраме#полиэфирныйшнур#плетение#ручнаяработа#хендмейд#handmade#мастеркласс#makrame#art#accessories#mywork#macramessage#modernmacrame#учусьмакраме#macramemaker";1522423141;137;2690496166;True;макрамемастеркласс
BggqaUBAX1m;"Нужен! Срочно нужен мне круг! 🔘 Спасибо, Любе @lyubovlopantseva за информативную подсказку, как начать его плести ☝😘 Но я все равно,  все сделала по-своему! ♥ 😅😉
.
.
.
НАПОМИНАЮ 🎓  ДЛЯ ТЕХ, КТО ХОЧЕТ НАУЧИТЬСЯ ПЛЕСТИ, ДЛЯ НОВИЧКОВ, вконтакте есть замечательный мастер макраме - ЛЮБОВЬ ЛОПАНЦЕВА (г. Волгоград) В ее макраме группе периодически проходят увлекательные БЕСПЛАТНЫЕ ОНЛАЙН МАСТЕР - КЛАССЫ 👍 Например, к любому празднику она проводит мастер-класс на тематическое изделие! Есть недорогие платные обучающие курсы! Она все подробно, интересно рассказывает и показывает! Ответит на все ваши вопросы, касаемы МАКРАМЕ ИСКУССТВА, и решит с вами любую задачу! 🏃 в группу к Любе 
https://vk.com/macramelittlemuse
.
.
.
_______

#онлайнурокимакраме #преподавательмакраме #мастермакраме #хочунаучитьсяплести #мастерклассмакраме #учимсямакраме #узлымакраме #яоченьлюблюмакраме #ilovemacrame #macrame #марафон #макрамемастеркласс #макраме #полиэфирныйшнур #плетение #ручнаяработа #хендмейд #handmade #мастеркласс #makrame #art #accessories #mywork #macramessage #modernmacrame #учусьмакраме";1521474429;66;2690496166;False;макрамемастеркласс
BgqrQbbh1gc;"Давно же я не заглядывала в книгу с узлами макраме 😅, захотелось вспомнить их названия! Я ведь чистый практик, без теории 😜 Вывод сделан 🙌 мой наборчик это всего лишь: ДВОЙНОЙ ПЛОСКИЙ УЗЕЛ И БРИДЫ, вот основные элементы, которыми я пользуюсь при создании своих панно. И по сути, все современное макраме и состоит из переплетений этих узлов. Плетение ДВОЙНОГО ПЛОСКОГО УЗЛА, вообще, это отдельная моя медитация.. 😇 И, конечно, моя любовь узел ""ЖОЗЕФИНА"". Но узлов, шикарных узлов! еще множество!
Я заметила, что у меня в подписчиках появилось много мастериц макраме, ну, если читаете меня, признавайтесь, какие вы любите узелки макраме и важно ли вам их название? 😍♥
.
.
.
_______

#урокимакраме #преподавательмакраме #мастермакраме #хочунаучитьсяплести #мастерклассмакраме #учимсямакраме #узлымакраме #яоченьлюблюмакраме #ilovemacrame #macrame #марафон #макрамемастеркласс #макраме #полиэфирныйшнур #плетение#макрамероссия #ручнаяработа #хендмейд #handmade #мастеркласс #makrame #art #accessories #mywork #macramessage #modernmacrame #учусьмакраме#хлопковыйшпагат#веревка";1521810417;102;2690496166;False;макрамемастеркласс
