post_id;text;date;likes;owner_id;is_video;by_tag
BOHI5_hgcno;Привет, я Алёна! 🙌;1481963296;156;2114102504;False;самарамастеркласс
BQCxycDF-15;Живопись для взрослых! Чт 19:00-21:00🎨 присоединяетесь😊 #живописьсамара #курсысамара #самаратворчество #творчествосамара #мастерклассысамара #самарамастеркласс #fotogorizont;1486111925;16;3604211983;False;самарамастеркласс
BU-A5illeCK;12 июня в 15:00  МК  Живопись маслом . Миниатюра в раме. 1400 руб. Ведет МК Тройникова Надежда.  Запись по телефону 8-960-812-8998 #живописьдлявзррслых #живописьмаслом #артидеясамара #тройникова_надежда #холст #мастерклассы #самара #самарамастеркласс;1496689494;39;2119812116;False;самарамастеркласс
BU8bsBfhoAL;"🌟Представляем вашему вниманию🌟 🎥трейлер видео-урока по вязанию прихватки из трикотажной пряжи! Полная версия уже на YouTube!  Простая в исполнении ,яркая и оригинальная станет украшением вашей кухни! А так же отличная идея, если у вас остались разные оттеночки от моточков пряжи! 
#пряжавналичии#трикотажнаяпряжа#вяжутнетолькобабушки#вяжутнетолькобабушкиноимамы#вязание#вязаниевудовольствие#вяжемвмемте#самаратрикотажнаяпряжаselena#самаравяжет#мастеркласс#самарамастеркласс#узелокзавяжется#сумкаизтрикотажнойпряжи#тапочкиизтрикотажнойпряжи#прихватка#";1496636430;25;2951242342;True;самарамастеркласс
BUd-oJSAlLQ;"Друзья,не забываем ,❤и читаем свежий отзыв Натальи 😁
__________________________
""Анна, спасибо большое за интереснейший мастер класс по трендам в аксессуарах 😃 Столько полезной и интересной информации! 😃 Больше всего понравилось, что информация подавалась не сухо, а очень ярко и эмоционально, с учетом личного отношения к конкретным трендам! 👍 Для меня, как начинающего дизайнера, а также работающей мамы двоих детей, в условиях дефицита свободного времени вся предоставленная информация была бесценна! ))) Особенно хотелось бы отметить неиссякаемый позитив, персональную харизму Анны 😍 и особую энергетику 💫, которые помогают создать атмосферу тепла и дружеского общения☀. Анна, спасибо тебе за это, удачи во всех твоих начинаниях! 💐💐💐""
#имиджстилистсамара";1495614561;145;1561452779;False;самарамастеркласс
BUdlTEjDF_A;#sketch #тревелбук #sketchmarker #sketchmarkersclub #самараскетч #самараскетчинг #скетчсамара #самаракурсы #самарамастеркласс;1495601281;196;1549732635;False;самарамастеркласс
BUmL1dSFkqQ;.В любом возрасте можно научиться рисовать!  Вопросы и запись по телефону 8-960-812-8998. #пионы #артидеясамара #самарагалактионовская #самара #москва  #картинамаслом #картиназаодиндень #артидеясамара #мастеркласс  #тольятти #новокуйбышевск #рренбург #бузулук #саратов #уфа #сызрань #отрадный #москва #бузулук #прибрежный #мастерклассы  #самарамастеркласс #живопись #живописьдлявзррслых;1495889921;24;2119812116;True;самарамастеркласс
BUq0MOFlGyu;"#Repost @ziganshina_t 🐐💋🙏🏻🌞
Огромная благодарность за атмосферу, вдохновение и наслаждеееение!!!👍👌🐐#мастеркласс#козатапас #kozatapas #самарамастеркласс #мастеркласссамара #кормитьихвалить";1496045297;254;2176763542;False;самарамастеркласс
BV33r8gh04J;"Соскучились по бабушкиной выпечке? 👵🏻❤ Тогда приглашаем Вас в сеть татарской национальной кухни ""Тюбетей""! Для того, чтобы вспомнить вкус бабушкиных блюд совсем необязательно мчаться в деревню посреди трудовой недели! 😏 
Приобретайте в ""Тюбетей"" замороженную продукцию, которую нужно просто поставить в духовку, после чего Вы сможете в любой момент порадовать себя и своих близких вкусной и натуральной выпечкой, как у бабушки!

3 корпус, 4 этаж. 
#TюбетейCамара #Tюбетей #АврораМолл #шопингначинаетсяздесь #слюбовьювашаврорамолл #самара #красиваясамара #самарагородок #самарамастеркласс #самарашопинг #шопинг #едасамара #samara #детисамара #инстамама #инстамамы #АврораМоллРесторан";1498630821;70;1539243561;False;самарамастеркласс
BV6KcA-HFC8;"Такой красивый и состаренный подсвечник вы создадите под руководством @dariageiler  на мастерклассах 8 июля в 10.00  и в 12.00. А также Даша расскажет
 о самом важном, с чего следует начать свой декораторский путь, как в несколько приемов сделать из коричневого ламинированного крокодила  античную конфетку и как не бояться творить своими руками. Также у вас будет возможность задать любые вопросы и разобрать любые волнующие темы. Стоимость мк 3000₽. Запись по предоплате 1000₽ . Мест осталось всего чуть чуть. Запись 89272007922 или в Директ #мастерская99 #мастеркласс #мастерклассывсамаре #дарьягейлер #дарьягейлерсамара #декор #декораторсамара #декормебели #декоратор #дизайнсамара#подсвечник #винтаж#античность#состаривание #decordesign #decorsamara#designsamara #samara#samaradecor #самарамастеркласс #самара#тольятти";1498707761;111;1602475050;False;самарамастеркласс
